secid,date,cusip,ticker,close
104533,2000-01-03,30231G10,XOM,78.1875
104533,2000-01-04,30231G10,XOM,76.8125
104533,2000-01-05,30231G10,XOM,81
104533,2000-01-06,30231G10,XOM,85
104533,2000-01-07,30231G10,XOM,84.9375
104533,2000-01-10,30231G10,XOM,83.75
104533,2000-01-11,30231G10,XOM,84
104533,2000-01-12,30231G10,XOM,83.5
104533,2000-01-13,30231G10,XOM,85.25
104533,2000-01-14,30231G10,XOM,83.75
104533,2000-01-18,30231G10,XOM,84.375
104533,2000-01-19,30231G10,XOM,85.5625
104533,2000-01-20,30231G10,XOM,83.6875
104533,2000-01-21,30231G10,XOM,85
104533,2000-01-24,30231G10,XOM,84.25
104533,2000-01-25,30231G10,XOM,84.0625
104533,2000-01-26,30231G10,XOM,83.5
104533,2000-01-27,30231G10,XOM,81
104533,2000-01-28,30231G10,XOM,78.875
104533,2000-01-31,30231G10,XOM,83.4375
104533,2000-02-01,30231G10,XOM,83.1875
104533,2000-02-02,30231G10,XOM,83.8125
104533,2000-02-03,30231G10,XOM,82.375
104533,2000-02-04,30231G10,XOM,80.875
104533,2000-02-07,30231G10,XOM,80.75
104533,2000-02-08,30231G10,XOM,78.9375
104533,2000-02-09,30231G10,XOM,76.0625
104533,2000-02-10,30231G10,XOM,75.875
104533,2000-02-11,30231G10,XOM,73.875
104533,2000-02-14,30231G10,XOM,76.4375
104533,2000-02-15,30231G10,XOM,79.3125
104533,2000-02-16,30231G10,XOM,79.64062
104533,2000-02-17,30231G10,XOM,77.875
104533,2000-02-18,30231G10,XOM,75
104533,2000-02-22,30231G10,XOM,75.4375
104533,2000-02-23,30231G10,XOM,74.625
104533,2000-02-24,30231G10,XOM,72.8125
104533,2000-02-25,30231G10,XOM,71.0625
104533,2000-02-28,30231G10,XOM,73.5
104533,2000-02-29,30231G10,XOM,75.3125
104533,2000-03-01,30231G10,XOM,76.0625
104533,2000-03-02,30231G10,XOM,76.625
104533,2000-03-03,30231G10,XOM,75.6875
104533,2000-03-06,30231G10,XOM,72.9375
104533,2000-03-07,30231G10,XOM,81
104533,2000-03-08,30231G10,XOM,79.625
104533,2000-03-09,30231G10,XOM,80.4375
104533,2000-03-10,30231G10,XOM,77
104533,2000-03-13,30231G10,XOM,75.875
104533,2000-03-14,30231G10,XOM,77.25
104533,2000-03-15,30231G10,XOM,77.75
104533,2000-03-16,30231G10,XOM,79.75
104533,2000-03-17,30231G10,XOM,77.125
104533,2000-03-20,30231G10,XOM,74.875
104533,2000-03-21,30231G10,XOM,77
104533,2000-03-22,30231G10,XOM,74.9375
104533,2000-03-23,30231G10,XOM,75.5
104533,2000-03-24,30231G10,XOM,77.25
104533,2000-03-27,30231G10,XOM,76.75
104533,2000-03-28,30231G10,XOM,76.3125
104533,2000-03-29,30231G10,XOM,80.5625
104533,2000-03-30,30231G10,XOM,78.625
104533,2000-03-31,30231G10,XOM,77.9375
104533,2000-04-03,30231G10,XOM,80.5
104533,2000-04-04,30231G10,XOM,82.5
104533,2000-04-05,30231G10,XOM,79.75
104533,2000-04-06,30231G10,XOM,81.75
104533,2000-04-07,30231G10,XOM,79.5625
104533,2000-04-10,30231G10,XOM,78.25
104533,2000-04-11,30231G10,XOM,79.375
104533,2000-04-12,30231G10,XOM,79.9375
104533,2000-04-13,30231G10,XOM,80
104533,2000-04-14,30231G10,XOM,78.75
104533,2000-04-17,30231G10,XOM,75.5
104533,2000-04-18,30231G10,XOM,76.1875
104533,2000-04-19,30231G10,XOM,77.4375
104533,2000-04-20,30231G10,XOM,79
