gvkey,gvkeyx,from,thru,tic,co_conm,co_tic,co_cusip
013599,000208,2005-07-06,2019-11-20,I0028,CELGENE CORP,CELG,151020104
024473,000208,2005-08-15,2007-12-27,I0028,SEPRACOR INC,SEPR,817315104
117768,000208,2005-12-21,,I0028,NVIDIA CORP,NVDA,67066G104
160329,000208,2005-12-21,,I0028,ALPHABET INC,GOOGL,02079K305
061355,000208,2005-12-21,2007-12-04,I0028,CHECKFREE CORP,CKFR,162813109
029108,000208,2005-12-21,2007-12-27,I0028,PATTERSON-UTI ENERGY INC,PTEN,703481101
001111,000208,2005-12-21,2008-07-09,I0028,ACTIVISION INC,ATVI.1,004930202
064156,000208,2005-12-21,2008-11-11,I0028,MONSTER WORLDWIDE INC,MWW,611742107
013421,000208,2005-12-21,2008-12-29,I0028,CADENCE DESIGN SYSTEMS INC,CDNS,127387108
164296,000208,2005-12-21,2008-12-29,I0028,WARNER BROS DISCOVERY INC,WBD,934423104
140902,000208,2005-12-21,2011-12-20,I0028,NII HOLDINGS INC,NIHD,62913F201
126296,000208,2005-12-21,2014-12-21,I0028,EXPEDIA GROUP INC,EXPE,30212P303
013003,000208,2006-01-04,2011-12-06,I0028,JOY GLOBAL INC,JOY,481165108
024843,000208,2006-01-11,2008-12-29,I0028,AMYLIN PHARMACEUTICALS INC,AMLN,032346108
136725,000208,2006-02-08,,I0028,INTUITIVE SURGICAL INC,ISRG,46120E602
125595,000208,2006-04-21,2009-12-21,I0028,AKAMAI TECHNOLOGIES INC,AKAM,00971T101
030024,000208,2006-05-17,2011-05-26,I0028,MILLICOM INTL CELLULAR SA,TIGO,L6388F110
174147,000208,2006-10-23,2018-12-28,I0028,QURATE RETAIL INC,QRTEA,74915M100
024344,000208,2006-12-20,,I0028,VERTEX PHARMACEUTICALS INC,VRTX,92532F100
013440,000208,2006-12-20,2008-12-29,I0028,LEVEL 3 COMMUNICATIONS INC,LVLT,52729N308
211009,000208,2006-12-20,2012-12-11,I0028,INFOSYS LTD,INFY,456788108
102696,000208,2007-02-06,2010-12-19,I0028,LOGITECH INTERNATIONAL SA,LOGI,H50430232
064835,000208,2007-02-14,2009-12-21,I0028,RYANAIR HOLDINGS PLC,RYAAY,783513203
010795,000208,2007-03-08,2008-07-22,I0028,UNITED AIRLINES HOLDINGS INC,UAL,910047109
023945,000208,2007-06-05,2011-07-19,I0028,CEPHALON INC,CEPH,156708109
004864,000208,2007-07-18,2010-12-19,I0028,FOSTER WHEELER AG,FWLT,H27178104
061494,000208,2007-10-03,2019-12-23,I0028,HENRY SCHEIN INC,HSIC,806407102
114484,000208,2007-10-10,2008-12-29,I0028,LEAP WIRELESS INTL INC,LEAP.5,521863308
164532,000208,2007-12-05,2022-12-19,I0028,BAIDU INC,BIDU,056752108
164283,000208,2007-12-28,2009-01-20,I0028,FOCUS MEDIA HOLDING LTD,FMCN,34415V109
024316,000208,2007-12-28,2009-12-21,I0028,MONSTER BEVERAGE CORP,MNST,61174X109
064030,000208,2007-12-28,2009-12-21,I0028,STEEL DYNAMICS INC,STLD,858119100
020904,000208,2007-12-28,2010-12-19,I0028,HOLOGIC INC,HOLX,436440101
063527,000208,2007-12-28,2016-12-18,I0028,STERICYCLE INC,SRCL,858912108
